ID,Category,Vegetable / Crop,Variety,POS Description,Full Name,Created Date
166,Pumpkins,Pumpkins,OSC 8878,Pumpkins,Pumpkins - Pumpkins (OSC 8878),2016-01-17 00:48:27
165,Pumpkins,Pumpkins,OSC 8880,Pumpkins,Pumpkins - Pumpkins (OSC 8880),2016-01-17 00:48:27
303,Pumpkins,Pumpkins,Orion,Pumpkin,Pumpkins - Pumpkins (Orion),2021-02-14 13:51:27
220,Radishes,Purple Radishes,Purple Plum,Purple Radishes,Radishes - Purple Radishes (Purple Plum),2016-01-22 21:30:09
35,Radishes,Radishes,Celesta,Radishes,Radishes - Radishes (Celesta),2016-01-17 00:48:27
286,Radishes,Radishes,Sora,Radish,Radishes - Radishes (Sora),2021-02-14 13:03:46
221,Radishes,White Radishes,Ping Pong,White Radishes,Radishes - White Radishes (Ping Pong),2016-01-22 21:31:03
107,Romanesco,Romanesco,Veronica,Romanesco,Romanesco - Romanesco (Veronica),2016-01-17 00:48:27
238,Squash,Specialty Squash,Serpent of Sicily,Serpent of Sicily,Squash - Specialty Squash (Serpent of Sicily),2016-06-22 22:20:27
49,Squash,Summer Squash,Multipik,Yellow Squash,Squash - Summer Squash (Multipik),2016-01-17 00:48:27
267,Squash,Winter,Honey boat,Delicata,Squash - Winter (Honey boat),2018-05-16 07:39:54
268,Squash,Winter,Honey nut,Honey nut,Squash - Winter (Honey nut),2018-05-16 07:40:19
302,Squash,Winter,Tip Top,Acorn,Squash - Winter (Tip Top),2021-02-14 13:47:53
237,Squash,Winter Squash,Bush Delicata,Delicata Sqsh,Squash - Winter Squash (Bush Delicata),2016-06-17 18:22:01
222,Squash,Winter Squash,Butterfly,Butternut Sqsh,Squash - Winter Squash (Butterfly),2016-01-22 21:32:49
125,Squash,Winter Squash,Butterscotch PMR,Butternut Sqsh,Squash - Winter Squash (Butterscotch PMR),2016-01-17 00:48:27
133,Squash,Winter Squash,Delicata JS,Delicata Sqsh,Squash - Winter Squash (Delicata JS),2016-01-17 00:48:27
223,Squash,Winter Squash,Royal Ace,Acorn Sqsh,Squash - Winter Squash (Royal Ace),2016-01-22 21:33:11
134,Squash,Winter Squash,Spaghetti Squash,Spaghetti Sqsh,Squash - Winter Squash (Spaghetti Squash),2016-01-17 00:48:27
132,Squash,Winter Squash,Sugarbush,Acorn Sqsh,Squash - Winter Squash (Sugarbush),2016-01-17 00:48:27
351,Squash,Winter Squash ,Havana,Butternut Squash ,Squash - Winter Squash  (Havana),2023-05-26 21:40:37
335,Squash,Zucchini,Desert,Zucchini,Squash - Zucchini (Desert),2022-05-09 21:19:18
47,Squash,Zucchini,Elite,Zucchini,Squash - Zucchini (Elite),2016-01-17 00:48:27
337,Squash,Zucchini,Golden Glory,Yellow Zucchini,Squash - Zucchini (Golden Glory),2022-05-09 21:36:09
301,Squash,Zucchini,Goldmine,Zucchini,Squash - Zucchini (Goldmine),2021-02-14 13:47:09
234,Squash,Zucchini,Payload,Zucchini,Squash - Zucchini (Payload),2016-05-06 20:31:45
48,Squash,Zucchini,Spineless Perfection,Zucchini,Squash - Zucchini (Spineless Perfection),2016-01-17 00:48:27
225,Tomatoes,Cherry Tomatoes,Cherry Bomb,Red Cherry,Tomatoes - Cherry Tomatoes (Cherry Bomb),2016-01-22 21:33:55
68,Tomatoes,Cherry Tomatoes,Esterina,Yellow Cherry,Tomatoes - Cherry Tomatoes (Esterina),2016-01-17 00:48:27
67,Tomatoes,Cherry Tomatoes,Sakura,Red Cherry,Tomatoes - Cherry Tomatoes (Sakura),2016-01-17 00:48:27
316,Tomatoes,Cherry Tomatoes,Toronjina,Orange Cherry Tomatoes,Tomatoes - Cherry Tomatoes (Toronjina),2022-03-31 22:40:33
338,Tomatoes,Plum Tomatoes,Plum Regal,Plum Tomatoes,Tomatoes - Plum Tomatoes (Plum Regal),2022-05-29 12:58:53
137,Tomatoes,Plum Tomatoes,San Marzano,Plum Tomato,Tomatoes - Plum Tomatoes (San Marzano),2016-01-17 00:48:27
66,Tomatoes,Slicer Tomatoes,Celebrity,Slicer Toms,Tomatoes - Slicer Tomatoes (Celebrity),2016-01-17 00:48:27
224,Tomatoes,Slicer Tomatoes,Charger,Slicer Toms,Tomatoes - Slicer Tomatoes (Charger),2016-01-22 21:33:39
64,Tomatoes,Slicer Tomatoes,Defiant,Slicer Toms,Tomatoes - Slicer Tomatoes (Defiant),2016-01-17 00:48:27
142,Tomatoes,Slicer Tomatoes,Mountain Fresh Plus,Slicer Toms,Tomatoes - Slicer Tomatoes (Mountain Fresh Plus),2016-01-17 00:48:27
273,Tomatoes,Slicer Tomatoes,Mountain Fresh Plus,Slicer Tomato,Tomatoes - Slicer Tomatoes (Mountain Fresh Plus),2019-04-07 19:31:40
312,Tomatoes,Slicer Tomatoes,Roadster,Tomatoes,Tomatoes - Slicer Tomatoes (Roadster),2022-03-21 18:50:51
299,Tomatoes,Slicer Tomatoes,Skyway,Tomato,Tomatoes - Slicer Tomatoes (Skyway),2021-02-14 13:37:29
167,Tomatoes,Slicer Tomatoes,Sunbrite,Slicer Toms,Tomatoes - Slicer Tomatoes (Sunbrite),2016-01-17 00:48:27
